document,label
언니 동생으로 부르는게 맞는 일인가요..??,0
그냥 내 느낌일뿐겠지?,0
아직너무초기라서 그런거죠?,0
유치원버스 사고 낫다던데,0
근데 원래이런거맞나요,0
 남자친구가 떠날까봐요,0
이거 했는데 허리가 아플수도 있나요? ;;,0
내가불안해서꾸는걸까..,0
 일주일도 안 남았당...ㅠㅠ,0
약은 최대한 안먹으려고 하는데좋은 음시있나요?0,0
 구직활동 하면서 남는시간은 뭘로 활용해야 되지..,0
괜찮은분 같아서 괜히 조급해지네요 ㅜ,0
 제가 스타일을 바꾸면 더 어색하게만 변할것같아서 ㅠ0,0
아내 있으면 여자 있는 술집가면 법 적으로 문제있나요?,0
 한소리들을지.... 도와주세요,0
도와주실분 없나요..,0
그냥 잡다한거말고학업에 관련된거 듣는게 더 좋은가요?,0
 가격은 반값....이거 질이 다른건가요??,0
마지막에 말씀 드렸던대로 글은 이제 내릴게요의도치않게 실시간베스트글에 올라가서 남친이 볼거 같아서요 ㅠㅠ,0
"화장품회사다보니, 젊은 여자들이 많은거 같은데 걱정이네요..",0
 몸무게 1키로찌는건 아니겠죠?,0
o자 다리 많이 심한가요?,0
 안하는게 나을까요??,0
그정도로 더러운가요.........,0
 보통 가진통도 이렇게 오래가나요?,0
여자가 술취해서 먼저 전화하는거 짜증나요???,0
걱정이 큽니다,0
이거 무슨 증상이죠??ㅜㅜ,0
 다름 아니라 제동생 걱정 입니다,0
아무래도 무리겠죠?,0
애인으로써 정말 걱정됩니다,0
이러다 일주일전에 나오는거 아닌가몰라요,0
경고먹을까 고민0,0
극도로 예민하고 불안한 상태에요,0
 못받으면 어떡하죠,0
 안검하수도어울릴까요?,0
근데 그게 사마귀 일수 있데요.,0
이제 곧 내년이면 22살인 여대생입니다...요즘 고민이 있는데요...,0
 안하는게 좋은가요?,0
자제할수있는 방법 뭐 없을까요??,0
집에와서 또 운동하긴했는데지난 3주의 노력이 물거품이 될까봐정말 걱정되요,0
옳은 선택인지 모르겠음,0
8월이면 둘째가 태어나서 마음이 더 조급한것같아요 ㅠㅠ,0
엄마한테는 친구랑 보러간다하는데 안들키겠지??,0
내가 구글 폰 계정에 동기화를 안한거 같은데 어쩌죠 ///,0
 아니면 더 빼야하나요?,0
물을안먹어서그러나?..,0
 찾아가는게나을까요?,0
제가 너무 깊이 들어가는건가요?,0
알수있는방법없음?,0
어디다가 짱박으면 좋을까요?,0
첫날안가서 왠지 아싸리 아싸가 될꺼같은 기분...,0
딱 1주일뒤에 군대에 들어가게되는데..,0
 방법이 없을까요?,0
